EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
204,1.02E-18,7.39E-11,1.91E-06,1.18E-09,28.56578087,0,0.00163075,-11988.34488,0.00E+00,4.14E-12,2.22E-18,2.99E-02,0.470281702,1.516342101,0.000938315,-1.031611146,0.398387271,3.000810909,-3.854669682,-3.205913662,-10.02653242,-10.29460937,-10.39098539
205,4.63E-19,7.37E-11,2.68E-07,9.96E-10,28.56084812,0,0.001596191,-11988.62988,0.00E+00,2.91E-12,0,2.98E-02,0.469046384,1.516342093,0.00093772,-1.031611351,0.398387271,3.000810618,-3.85523123,-3.205978558,-10.02655474,-10.29525804,-10.39556525
206,3.80E-19,7.12E-11,2.26E-07,9.53E-10,28.55754683,0,0.001596191,-11990.54123,0.00E+00,2.50E-12,0,2.97E-02,0.468560471,1.516341551,0.000936326,-1.031611568,0.398381035,3.000810618,-3.855257958,-3.206261408,-10.02679278,-10.29579234,-10.4025255
207,7.87E-20,2.91E-11,2.26E-07,7.61E-10,28.55355024,0,0.001596191,-11994.80369,0.00E+00,2.19E-12,0,2.96E-02,0.466907925,1.516260802,0.000936239,-1.031612024,0.398358291,3.000805101,-3.855296192,-3.206338032,-10.02696837,-10.29609033,-10.40258646
208,7.85E-20,2.79E-11,1.59E-07,4.01E-10,28.5497434,0,0.001586034,-11997.10509,0.00E+00,1.32E-12,0,2.96E-02,0.46639775,1.516260802,0.000935856,-1.031613527,0.3983545,3.000805101,-3.855693641,-3.206404625,-10.02719117,-10.29609033,-10.40688071
209,6.11E-20,2.79E-11,7.81E-08,1.85E-10,28.54709038,0,0.001576716,-11998.74926,0.00E+00,1.08E-12,0,2.95E-02,0.466056209,1.516237368,0.000932978,-1.031613792,0.398349748,3.000783506,-3.855728889,-3.206442825,-10.02766861,-10.29747229,-10.40740437
210,1.19E-20,1.83E-11,7.81E-08,1.70E-10,28.54254854,0,0.001576716,-11999.63124,0.00E+00,8.35E-13,0,2.94E-02,0.465285667,1.515743179,0.000930872,-1.031614031,0.398347211,3.000604861,-3.855732963,-3.206603341,-10.02771409,-10.297789,-10.40805292
211,1.15E-20,1.43E-11,7.81E-08,1.50E-10,28.5374095,0,0.001573465,-12000.14382,0.00E+00,7.06E-13,0,2.92E-02,0.464792864,1.515743179,0.00093071,-1.031614031,0.398347186,3.000604861,-3.855753072,-3.209240658,-10.0332541,-10.29852327,-10.40808444
212,1.10E-20,1.31E-11,2.99E-08,7.66E-11,28.53193306,0,0.001573465,-12003.07358,0.00E+00,6.50E-13,0,2.91E-02,0.464112881,1.514714141,0.000930697,-1.031614031,0.398347186,3.000604861,-3.855803578,-3.209245539,-10.03371986,-10.29898433,-10.40831951
213,1.09E-20,9.17E-12,2.98E-08,7.39E-11,28.52849234,0,0.001528854,-12003.21227,0.00E+00,5.68E-13,0,2.89E-02,0.463483019,1.514444261,0.000930557,-1.031614031,0.398341016,3.000604618,-3.855865082,-3.20949731,-10.03505427,-10.30007539,-10.40889336
214,1.05E-20,5.62E-13,2.98E-08,6.54E-11,28.52544599,0,0.0014916,-12005.50226,0.00E+00,4.25E-13,0,2.89E-02,0.462956068,1.514444261,0.000930284,-1.031614164,0.398340697,3.000594489,-3.855954205,-3.209615969,-10.03509547,-10.30095518,-10.40920924
215,6.37E-21,4.95E-13,2.41E-08,6.21E-11,28.52392354,0,0.0014916,-12006.31665,0.00E+00,2.69E-13,0,2.88E-02,0.46221893,1.514444218,0.000930231,-1.031614164,0.398320942,3.00057514,-3.855989557,-3.209994599,-10.03509547,-10.30097596,-10.41073744
216,6.13E-21,3.71E-13,2.22E-09,6.06E-11,28.52074301,0,0.001478454,-12008.83139,0.00E+00,2.13E-13,0,2.87E-02,0.460617545,1.514428114,0.000930207,-1.031614201,0.39832094,3.000570291,-3.856033341,-3.210049955,-10.03530258,-10.30122069,-10.41643611
217,3.93E-21,3.71E-13,2.21E-09,1.80E-11,28.51637076,0,0.001478454,-12017.41546,0.00E+00,1.40E-13,0,2.84E-02,0.459145567,1.514427732,0.000929834,-1.031614414,0.398305961,3.000569775,-3.856138201,-3.21012831,-10.03681359,-10.30217712,-10.41826834
218,3.58E-21,3.54E-13,2.20E-09,1.50E-11,28.51049443,0,0.001478454,-12021.66257,0.00E+00,1.21E-13,0,2.83E-02,0.458288812,1.514427732,0.00092896,-1.031614445,0.398301739,3.000567001,-3.856205212,-3.210410797,-10.04022521,-10.30217712,-10.41977403
219,3.58E-21,1.75E-13,2.16E-09,1.17E-11,28.50574116,0,0.00140946,-12023.06272,0.00E+00,8.56E-14,0,2.82E-02,0.457151849,1.505158934,0.000925348,-1.031614445,0.398301739,3.000565804,-3.856272728,-3.210731543,-10.0402606,-10.30217712,-10.42067688
220,3.58E-21,4.52E-14,1.86E-09,8.31E-12,28.50158963,0,0.001390322,-12033.55852,0.00E+00,7.52E-14,0,2.81E-02,0.457082941,1.505158799,0.000913223,-1.031614445,0.398294911,3.000527904,-3.856455792,-3.211011302,-10.0402606,-10.30221648,-10.42099319
221,2.48E-21,4.32E-14,1.15E-10,4.67E-12,28.49483782,0,0.001390322,-12033.62434,0.00E+00,6.48E-14,0,2.80E-02,0.456462477,1.505158799,0.000912921,-1.031614623,0.398294749,3.000515304,-3.856468279,-3.211378576,-10.04044194,-10.30240011,-10.42099319
222,2.08E-21,1.98E-14,1.14E-10,4.01E-12,28.48903802,0,0.001387869,-12034.06556,0.00E+00,5.35E-14,0,2.79E-02,0.456259606,1.505158799,0.00091149,-1.031614689,0.39828715,3.000512427,-3.856478457,-3.21231387,-10.04067997,-10.30240011,-10.42193318
